dot_id,label,x,y,flg_type#1,flg_type#2,flg_type#3,flg_type#4,flg_type#5,flg_type#6,flg_type#7,tsr_cfd,has_inf,inf_cfd,has_filter_desc,filter_cfd,source,flg_pos_r,flg_pos_sin,flg_size,flg_shape,pub_road_num,pri_road_num,road_class,fc,link_type,camera_num,furniture_num,guidance_num,forbid_num
5a93435c768c434dbe64efe77a102c28,1,120.287342,30.429218,0,0,0,0,0,1,0,0,0,0,0,0,8,0.860650639,0.403441544,2187.934028,1,1,0,44000,4,0,14,37,28,32
52be6e91f5b343b9896f182840db8df5,0,117.19047,31.858462,0,0,1,0,0,0,0,280,0,0,0,0,8,0.902344351,0.549494583,27.66927083,0.882352941,10,0,45000,5,0,22,41,20,36
bbeeea7c7a3647b3ab5515b162d6c692,1,116.854196,36.561258,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.849111272,0.693535592,1762.586806,1.056451613,1,0,41000,1,0,5,18,1,1
efced0a1edf546fc8a55ca197745f6fb,1,116.176427,28.319271,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.673635991,0.492015567,1498.776831,1.507042254,2,0,41000,1,0,9,21,0,0
faf1df039ce74c5cb49a9acdc6903deb,0,117.247286,31.882934,0,1,0,0,0,0,0,995,1,996,0,0,8,0.65961558,0.974894431,128.90625,1.090909091,2,2,45000,4,0,14,57,14,16
35e1090dbdd64a52914b47f4d2343f94,0,117.232875,31.900577,0,1,0,0,0,0,0,449,0,0,0,0,8,0.876257574,0.98746967,79.1015625,1,1,0,44000,5,0,29,22,16,25
f377c106bbed44d285ad33a14a3479c0,1,112.604902,25.297194,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.875048366,0.479338584,665.7986111,0.567307692,2,0,41000,1,0,8,34,4,0
24077fe8a15c4e59b154c4ea61c58009,0,117.241985,31.866724,0,0,0,0,1,0,0,1000,0,0,0,0,8,0.862862243,-0.999580185,1108.940972,1.917808219,1,0,45000,5,0,11,31,14,37
d51edcc4c41e47d19240e21634c97843,0,117.174835,31.831722,0,0,0,0,1,0,0,999,0,0,0,0,8,0.275039947,-0.999854758,833.7673611,6.647058824,1,0,44000,4,0,4,12,2,10
ba2ec4a291b545d595a270132b731def,0,117.139611,31.841135,0,0,0,0,0,1,0,0,0,0,0,0,8,0.64712386,0.770503364,2202.690972,0.965517241,2,0,0,0,0,18,42,18,6
26fba55f5c49475ca59309c2268dbfca,1,104.035241,30.707433,0,1,0,0,0,0,0,0,0,0,1,1000,8,0.860485946,0.125897853,48.56715893,0.653846154,3,1,45000,5,0,5,130,5,88
096332eb3a754da3a065e5f76e78d5d5,1,109.354598,36.762486,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.520685982,0.912258092,2332.899306,0.726744186,1,0,45000,3,0,3,22,15,0
e263b987855849aea6899d3f1ba3eea0,1,114.371009,36.106071,0,0,0,0,1,0,0,0,0,0,0,0,8,0.043526689,-0.191453418,356.0126582,0.9,2,0,44000,4,0,7,21,0,31
f2fe8ae674684a018b3c0b04de604146,0,117.208309,31.832682,0,0,0,0,0,1,0,0,0,0,0,0,8,0.725484087,0.444147884,2006.944444,1,1,0,44000,5,0,25,53,24,42
4ddd609a8db540709b3f2530cf1a207d,0,87.261446,42.245003,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.417418304,-0.153057229,2597.222222,1.294117647,2,0,41000,1,0,0,4,0,0
48d37d992b6d4888b035d0c62ecd51c9,1,80.926362,44.311553,0,0,0,1,0,0,0,1000,1,0,1,1000,8,0.949061436,0.295613693,516.8776371,2.666666667,2,0,41000,1,0,5,14,0,0
e692f824a47a4ab9af5fb00925de4b4d,1,110.707576,27.098857,0,0,0,1,0,0,0,1000,1,0,1,1000,1,0.807787802,-0.100341559,233.4594727,0.472222222,1,0,42000,2,0,0,2,2,0
d5e3b0b311ef419087c43fe53f94d866,1,120.057329,30.19437,0,0,0,1,0,0,0,1000,0,0,1,1000,8,0.31934347,-0.247904448,65.10416667,0.96,2,0,41000,1,0,61,41,4,10
033b1e14abd84e53802f0dc4be9f2061,0,117.225008,31.848699,0,0,0,0,0,1,0,0,0,0,0,0,8,0.904336528,0.688042784,1615.017361,1,6,0,44000,4,0,15,28,13,51
c87a74d8c9ba4a36a26cc8cad5e06cb1,0,117.176713,31.859435,0,0,0,0,1,0,0,999,0,0,0,0,8,0.232186169,-0.167490118,236.9791667,3.791666667,3,1,45000,5,0,17,39,43,24
126fffc413bb4b4abe3215c35098436a,1,114.354933,30.581517,0,1,0,0,0,0,0,480,0,0,0,0,8,0.524984872,-0.076721787,59.02777778,1.882352941,3,0,44000,4,0,28,34,16,84
458c1393745842e28116f4574acc0daa,0,105.78906,28.537326,0,0,0,1,0,0,0,1000,0,0,0,0,8,0.25584352,-0.04885799,28.01951477,0.882352941,2,0,41000,1,0,19,29,5,0
1c6cc94e4e784aa29a5b32c2bbfc5f05,1,117.316701,39.050459,0,0,0,1,0,0,0,1000,0,0,1,1000,8,0.334878519,-0.161750198,117.2960069,2.043478261,1,0,0,0,0,19,44,10,13
b47ecf1b5a6443da9a2a1bc98cb74bef,0,117.203821,31.863477,0,1,0,0,0,0,0,1000,0,0,0,0,8,1.256515727,0.658788235,693.5763889,0.723404255,5,1,45000,5,0,25,75,25,49
25ceb7854c254cfe877c7f9f3e6fbf74,0,117.221027,31.885967,0,1,0,0,0,0,0,986,0,0,0,0,8,1.150023116,0.605060301,173.3940972,0.723404255,4,0,0,0,0,13,29,27,7
800a116e2b044e9081280a952b327364,0,117.20127,31.844791,0,0,0,1,0,0,0,1000,1,0,0,0,8,0.434381254,0.9624162,3596.679688,2.05511811,6,0,0,0,0,37,76,38,53
2995f73a16f7431db3ab4ad6dbee0a38,0,124.829333,46.553868,0,0,0,0,0,1,0,0,0,0,1,0,8,0.361886441,0.529632075,1914.556962,1,0,1,45000,5,0,4,5,0,0
bfadafcd4b434add91b55d42fcb373d6,0,117.204163,31.837864,0,0,0,0,1,0,0,1000,0,0,0,0,8,0.671864525,-0.876499453,3937.5,11.57142857,4,1,44000,4,0,18,23,18,19
583cb4ff7b36434685060ba19315e507,0,117.241669,31.866907,0,0,1,0,0,0,0,992,0,0,0,0,8,0.720301348,-0.113764114,214.1927083,0.893617021,2,0,44000,5,0,11,31,14,37
d6aeea3161fa48b7a44317881bf8c181,0,117.581218,24.830086,0,0,0,1,0,0,0,0,1,0,1,1000,8,0.753332925,0.411135916,543.0772569,0.844155844,1,0,41000,1,3,0,14,0,0
86872252f6894d37904f40a8209c33c9,0,117.190525,31.855539,0,0,0,0,0,1,0,0,0,0,0,0,8,0.771253952,0.196289288,1791.666667,0.992248062,2,0,0,0,0,22,41,20,36
